Technology,Library/Theme,API,URL,Coder 1,Coder1-Self-Direction,Coder1-Stimulation,Coder1-Hedonism,Coder1-Achievement,Coder1-Power,Coder1-Security,Coder1-Tradition,Coder1-Conformity,Coder1-Benevolence,Coder1-Universalism,Coder2-Self-Direction,Coder2-Stimulation,Coder2-Hedonism,Coder2-Achievement,Coder2-Power,Coder2-Security,Coder2-Tradition,Coder2-Conformity,Coder2-Benevolence,Coder2-Universalism
Android+,Animations,Bubble Picker,https://github.com/igalata/Bubble-Picker,Coder-A,Non-Relevant,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,APT,GsonValue,https://github.com/evant/gsonvalue,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Database Browsers,SQLite DB Bowser,http://sqlitedbrowser.sourceforge.net,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Security,keystore-secure,https://github.com/tntkhang/keystore-secure,Coder-A,Non-Relevant,Non-Relevant,Enjoying Life,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Range Bars,DiscreteSeekBar,https://github.com/AnderWeb/discreteSeekBar,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Wearable Data Layer,RxWear,https://github.com/patloew/RxWear,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Text Formatting,DateTimeTemplate,https://github.com/MarcinOrlowski/datetimetemplate,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Equality,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Helpful,Equality
Android+,Database,Easy Data Sorage,https://github.com/neeloyghosh1990/EasyDataStorage,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Helpful,Non-Relevant
Android+,Image Loaders,Parrot,https://github.com/matteocrippa/Parrot,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant
Android+,Blur Effects,MultiShapeBlurView,https://github.com/Adnan865/MultiShapeBlurView,Coder-A,Creativity,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Pleasure,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,3D Engines,jPCT AE,http://www.jpct.net/jpct-ae,Coder-A,Non-Relevant,Exitement in Life,Enjoying Life;Self Endulgent;Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Pleasure,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,QR Codes,QRGen,https://github.com/kenglxn/QRGen,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant
Android+,Networking,Thunder,https://github.com/qiugang/Thunder,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Audio,MidiDroid,https://github.com/pdrogfer/MidiDroid,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Camera,CameraViewEx,https://github.com/pvasa/cameraview-ex,Coder-A,Creativity,Variation in Life;Exitement in Life,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant,Creativity,Non-Relevant,Non-Relevant,Intelligent,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Media,VideoControllerView,https://github.com/brucetoo/VideoControllerView,Coder-A,Non-Relevant,Variation in Life;Exitement in Life,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Video,VideoCrop,https://github.com/VRGsoftUA/VideoCrop,Coder-A,Creativity,Variation in Life;Exitement in Life,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant,Creativity,Non-Relevant,Pleasure,Sucessful,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Exception Handling,FireCrasher,https://github.com/osama-raddad/FireCrasher,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Sucessful,Authority,Other,Non-Relevant,Non-Relevant,Helpful,Non-Relevant,Creativity,Non-Relevant,Non-Relevant,Non-Relevant,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,IDE Plugins,eventbus3-intellij-plugin,https://github.com/kgmyshin/eventbus3-intellij-plugin,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Location,Flank Location,https://github.com/VigneshPeriasami/flanklocation,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant
Android+,2D Engines,Pure2D,https://github.com/gree/pure2d,Coder-A,Non-Relevant,Variation in Life;Exitement in Life,Enjoying Life;Self Endulgent;Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Pleasure,Sucessful,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,OAuth,RxSocialAuth,https://github.com/pchmn/RxSocialAuth,Coder-A,Freedom,Non-Relevant,Non-Relevant,Non-Relevant,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Freedom,Non-Relevant,Non-Relevant,Sucessful,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Weather,F32,https://github.com/hellowizman/F32-for-Android,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,Label,GlitchLabel,https://github.com/kciter/GlitchLabel,Coder-A,Non-Relevant,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,Slider,AGCircularPicker,https://github.com/agilie/AGCircularPicker,Coder-A,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,Pushwoosh,Pushkin,https://github.com/Nordeus/pushkin,Coder-A,Creativity,Exitement in Life,Pleasure,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,Optimization,Unreachable,https://github.com/nvzqz/Unreachable,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Self-Descipline,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Self-Descipline,Non-Relevant,Non-Relevant
IOS+,Products,OpenShop.io,https://github.com/openshopio/openshop.io-ios,Coder-A,Creativity,Exitement in Life,Pleasure,Capabale,Authority,Other,Non-Relevant,Non-Relevant,Helpful,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant
IOS+,Pushwoosh,Pushkin,https://github.com/Nordeus/pushkin,Coder-A,Choosing Own Goals,Exitement in Life,Non-Relevant,Intelligent,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Exitement in Life,Pleasure,Capabale,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,Accessibility,Capable,https://github.com/chrs1885/Capable,Coder-A,Choosing Own Goals,Exitement in Life,Non-Relevant,Intelligent,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Independent,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,Objective-C Runtime,Swizzlean,https://github.com/rbaumbach/Swizzlean,Coder-A,Creativity,Non-Relevant,Non-Relevant,Capabale,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,ProgressView,ProgressMeter,https://github.com/khawajafarooq/ProgressMeter,Coder-A,Creativity,Exitement in Life,Non-Relevant,Capabale,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Variation in Life,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,A/B Testing,Switchboard,https://github.com/KeepSafe/Switchboard,Coder-A,Creativity,Exitement in Life,Pleasure,Capabale,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,National Security,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,Local Notifications,DLLocalNotifications,https://github.com/d7laungani/DLLocalNotifications,Coder-A,Creativity,Exitement in Life,Non-Relevant,Capabale,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS+,Animation,EasyAnimation,https://github.com/icanzilb/EasyAnimation,Coder-A,Non-Relevant,Exitement in Life,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Variation in Life,Pleasure,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android,Android Platform,android.view.accessibility,https://developer.android.com/reference/android/view/accessibility/package-summary.html,Coder-A,Creativity,Exitement in Life,Non-Relevant,Capabale,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Independent,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Equality
Android,Android Platform,android.view.animation,https://developer.android.com/reference/android/view/animation/package-summary.html,Coder-A,Creativity,Exitement in Life,Pleasure,Capabale,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Variation in Life,Pleasure,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android,Android Platform,android.telecom,https://developer.android.com/reference/android/telecom/package-summary.html,Coder-A,Self Respect,Exitement in Life,Non-Relevant,Capabale,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android,Android Platform,android.service.wallpaper,https://developer.android.com/reference/android/service/wallpaper/package-summary.html,Coder-A,Creativity,Exitement in Life,Non-Relevant,Intelligent,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Variation in Life,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android,Android Platform,javax.security.auth,https://developer.android.com/reference/javax/security/auth/package-summary.html,Coder-A,Non-Relevant,Other,Non-Relevant,Capabale,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,National Security,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android,Android Platform,android.telephony,https://developer.android.com/reference/android/telephony/package-summary.html,Coder-A,Freedom,Other,Non-Relevant,Capabale,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android,Android Platform,android.test,https://developer.android.com/reference/android/test/package-summary.html,Coder-A,Non-Relevant,Other,Non-Relevant,Non-Relevant,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,National Security,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android,Android Platform,android.view.inputmethod,https://developer.android.com/reference/android/view/inputmethod/package-summary.html,Coder-A,Freedom,Other,Non-Relevant,Capabale,Authority,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS,Graphics and Games,Vision,https://developer.apple.com/documentation/vision,Coder-A,Creativity,Exitement in Life,Non-Relevant,Intelligent,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Non-Relevant,Intelligent,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS,App Services,AdSupport,https://developer.apple.com/documentation/adsupport,Coder-A,Freedom,Non-Relevant,Non-Relevant,Capabale,Authority,Other,Non-Relevant,Other,Non-Relevant,Non-Relevant,Creativity,Exitement in Life,Non-Relevant,Capabale,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS,Media,VideoToolbox,https://developer.apple.com/documentation/videotoolbox,Coder-A,Creativity,Non-Relevant,Non-Relevant,Capabale,Authority,Non-Relevant,Other,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant
IOS,Web,WebKit JS,https://developer.apple.com/documentation/webkitjs,Coder-A,Creativity,Non-Relevant,Non-Relevant,Capabale,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Enjoying Life,Capabale,Authority,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS,Developer Tools,Xcode,https://developer.apple.com/documentation/xcode,Coder-A,Creativity,Exitement in Life,Non-Relevant,Capabale,Authority,Other,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant
IOS,Developer Tools,XcodeKit,https://developer.apple.com/documentation/xcodekit,Coder-A,Creativity,Exitement in Life,Non-Relevant,Capabale,Authority,Other,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
IOS,System,Security,https://developer.apple.com/documentation/security,Coder-A,Privacy,Non-Relevant,Non-Relevant,Capabale,Authority,Other,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant